0,1,2,3,4,5,6,7,8,9
3009,7342,2499,2446,4654,13050,2558,2581,2513,12349
1372,2606,1234,9129,1988,1528,2265,14672,2958,2442
3506,1343,8775,4544,2461,2176,12379,1969,2125,2476
2237,1626,2099,1539,2009,2442,1829,1877,6799,2191
2868,6482,2614,2628,3770,13332,1948,2835,5432,13296
3181,10378,1999,2887,1968,15285,2433,2025,2857,15838
2800,3604,2864,10129,2047,2347,2417,14364,2214,2258
3622,7927,3016,2009,2580,15383,1726,2542,2369,14920
1919,7838,4494,1663,1570,12619,1756,1574,1792,12327
2666,2390,1995,7720,2224,1992,2437,14843,2513,2477
2069,2354,2509,2078,1852,7650,2322,2897,2666,16233
1630,2717,7798,2338,2976,2908,12272,2019,1846,2383
2295,8109,1926,1933,1726,14984,2750,2288,2016,14597
2474,2189,2356,2761,9498,1726,2201,2068,14842,2927
2057,6952,4280,2451,2449,13492,4858,2267,2087,14927
1853,3032,8080,2371,3360,1311,11870,2861,1417,2674
1969,2077,9626,1945,2388,3024,10242,2051,2900,2171
2002,7455,1841,2516,4400,12398,2240,2267,5037,12270
2116,1905,9440,2016,1456,2033,14554,1973,2556,2754
2932,3029,9557,2018,1906,2202,15343,2662,2548,2643
2116,2097,2355,7900,2831,2483,2636,15565,2551,2319
1910,2257,2496,6943,3492,2007,4864,13821,2672,2969
3327,2313,2466,2430,8998,2055,2548,1818,14212,2121
3513,11389,2669,2322,2208,9695,1231,2392,1366,14036
2699,1994,7640,4950,2574,2727,12706,1835,2061,1947
2045,2308,2378,7508,2124,2030,2179,12355,2287,2159
1882,1883,7312,1883,1910,4393,12011,1711,1787,3147
2246,2711,2114,3156,6898,2470,1788,1764,12370,1686
2826,1867,3371,2829,7281,3038,2166,2241,14967,2377
1594,1952,2353,9645,1787,2352,3093,11600,1770,2426
2716,2740,2927,9867,2750,2137,1952,15673,1943,3008
1859,2238,2251,9501,2636,1873,2454,14099,1840,2414
1924,9229,1650,1435,1034,13297,1935,1637,1951,14457
1994,8146,4087,2481,2165,14036,2132,2505,2068,14741
2218,2347,8308,3275,2383,3009,15766,2124,2405,2367
2490,2700,9929,2817,2280,2348,15501,2889,2667,2048
2763,10476,2646,2933,3134,16189,2945,3169,2426,12820
3040,8214,1906,2146,2215,14251,2414,1915,2326,12562
2369,7437,2701,3229,6413,13412,2578,2063,5712,13645
2783,7447,3255,1915,2055,13468,2772,2543,2061,14473
2630,2223,2705,2455,2360,9411,2187,2865,1925,14802
3008,2818,7109,2412,1915,1932,12938,3214,3205,2283
1944,1931,1289,2111,1768,7831,1704,2088,2450,12638
2704,2179,2387,1806,1657,2533,2124,1653,10247,1917
1968,7736,3057,2483,2288,12223,2838,1978,1910,12646
3136,2028,8273,2691,3223,2351,12738,1871,2051,2807
1739,6855,3492,2087,2092,11851,2057,1461,1819,13662
2152,9688,2489,2960,2036,14538,2572,2186,2762,15140
3479,2767,7961,2259,2997,2431,15863,2253,2982,2241
1900,2425,9880,2569,2540,1999,14973,2842,2162,2324
2988,2926,3241,10603,2515,2477,1962,14748,3002,2332
1975,2178,1872,2107,6899,4469,2127,1935,14421,2390
2200,1613,3043,1722,2234,7757,2586,2484,3087,16521
2434,2491,2615,2461,2295,1678,2320,1767,9508,1798
1718,2081,2347,2050,2617,1788,2831,2241,9909,2709
2987,10263,2099,2486,2365,16249,3062,2186,2241,14621
